,ARI,ATL,BAL,BUF,CAR,CHI,CIN,CLE,DAL,DEN,DET,GB,HOU,IND,JAC,KC,LAC,LAR,LV,MIA,MIN,NE,NO,NYG,NYJ,PHI,PIT,SEA,SF,TB,TEN,WAS
ARI,0.0,1601.3080776174854,2012.219230162745,1916.6594310713604,1791.4706978196011,1461.1778485575187,1588.472861247093,1756.0574734709198,880.4085791356605,587.5534994195415,1697.4332155642708,1497.8941270608043,1027.0216655870297,1506.387538394434,1806.5499992559016,1060.6877111402928,351.0132988112799,351.0132988112799,242.4175238557703,1985.4750212505103,1283.8627189343438,2296.13741300686,1326.450073117629,2148.4842003528934,2148.4842003528934,2090.042665235206,1835.3192974884876,1103.6613702893383,608.7435481418624,1804.8523494896983,1455.8060528570452,1999.2938300147046
ATL,1601.3080776174854,0.0,576.0932830523434,692.4623381660341,226.37936188709392,586.0246235714592,368.2209849359006,554.5826777171852,737.7602647075128,1213.0241142755526,596.6431500776013,766.7341927602901,705.995294220123,425.42476504653143,286.6645789700605,669.5175536092053,1942.5739546289342,1942.5739546289342,1747.9225318757747,592.1835106395038,906.4158275684416,917.6782638063671,424.5336164902172,747.7877041454667,747.7877041454667,663.7919298581386,520.9195475720296,2181.2323343952085,2116.8752718169935,413.78328429327445,213.82960315369016,550.0368509529212
BAL,2012.219230162745,576.0932830523434,0.0,266.4034679053089,363.86001693772675,604.8173846311847,423.8115539244422,308.73409304611914,1228.3977160795032,1511.4433494730094,397.3664146291867,690.3875095678359,1255.9879635561122,510.63337213636277,679.6104680169508,957.7677057525494,2326.939905954214,2326.939905954214,2108.9350677702723,941.5544379826525,938.4440496869212,341.81545345078797,998.7872817657801,171.69448274399633,171.69448274399633,88.76788381887118,197.5789436238172,2333.9526649805052,2440.867172165729,849.0131364738045,595.5070202001127,28.656696277081387
BUF,1916.6594310713604,692.4623381660341,266.4034679053089,0.0,532.3713253429391,456.43148479134317,392.6836238453956,173.30365745969291,1213.3970686214495,1376.2643616872467,219.34524189881162,479.8139304323233,1290.3270492121997,436.5597921988561,872.8494647420601,859.4793577972326,2210.2246331686397,2210.2246331686397,1984.5840139448867,1162.029877286417,737.4523724962501,387.40462817916045,1083.3522899428615,278.40493264307077,278.40493264307077,273.3497588321435,172.75536299040388,2123.8253250379826,2292.7210326359846,1041.2488939178884,623.9503275166721,285.1437418356445
CAR,1791.4706978196011,226.37936188709392,363.86001693772675,532.3713253429391,0.0,585.9148097752102,334.70215649349274,435.6051123157979,946.7856389145564,1359.6780562245133,504.7572793644579,745.2331467697476,931.0283429117185,427.5588757130445,340.8664984720197,796.4391625715895,2125.9981991686195,2125.9981991686195,1922.5050254773294,639.4765942878311,938.2937515995637,701.446011114213,649.0883286055116,533.7958330509075,533.7958330509075,448.53552183221893,362.9643622719596,2285.0734280945862,2281.174963302543,508.87768456971344,339.05700667209555,336.1401668914725
CHI,1461.1778485575187,586.0246235714592,604.8173846311847,456.43148479134317,585.9148097752102,0.0,251.24836473583838,307.04994107311813,815.9479181112885,922.5149535466703,237.22553426043794,183.57129466564595,945.8884683894422,163.8328488191437,862.4567074497736,410.53623110484546,1754.2663062194417,1754.2663062194417,1529.4750551618984,1174.125462691376,355.85578265926756,841.0286736909521,832.6932320466593,707.3149420007387,707.3149420007387,665.2549796999192,408.1393005684347,1738.4840252576132,1845.5656177929402,999.8063791398515,395.52875048684365,602.3057167499361
CIN,1588.472861247093,368.2209849359006,423.8115539244422,392.6836238453956,334.70215649349274,251.24836473583838,0.0,223.16934939406946,828.833562550449,1095.6399651382574,236.83843957379236,415.535518599577,897.6743102703942,99.37665407181625,626.3216730756689,535.7337350271687,1904.0356302679838,1904.0356302679838,1687.5801943171034,938.7289277486362,605.117751504487,726.1925739067985,705.3702923568692,566.5853072528201,566.5853072528201,502.5106929447045,257.0557584970568,1971.4877988799842,2026.0754035441093,775.0203324900334,236.82286553345162,411.9399876707544
CLE,1756.0574734709198,554.5826777171852,308.73409304611914,173.30365745969291,435.6051123157979,307.04994107311813,223.16934939406946,0.0,1040.1066264236683,1228.321578845661,90.14343323977057,382.798728701233,1119.8173877124225,263.753422669289,770.9822891602896,695.8247632698709,2056.8052538226702,2056.8052538226702,1833.6425891052802,1074.8608585537845,629.8346639811689,540.0959575807786,924.4680188718708,400.3961145913881,400.3961145913881,360.3423937740694,114.43948062663968,2025.4313010148664,2152.5957255998765,933.7974627241371,458.6586506920544,312.26436183593785
DAL,880.4085791356605,737.7602647075128,1228.3977160795032,1213.3970686214495,946.7856389145564,815.9479181112885,828.833562550449,1040.1066264236683,0.0,654.189427374858,1013.736357073214,945.2151997264182,233.3317745202592,777.595849447663,926.2762864997693,458.3616744320925,1229.4527076289735,1229.4527076289735,1057.0785722322846,1117.4508562295218,868.0742787109589,1551.909831251212,457.0251523304773,1387.2088481522712,1387.2088481522712,1314.6063516845675,1085.0462643244496,1670.423450197642,1441.3477209911139,930.388684799963,634.2418861300537,1209.3349607833934
DEN,587.5534994195415,1213.0241142755526,1511.4433494730094,1376.2643616872467,1359.6780562245133,922.5149535466703,1095.6399651382574,1228.321578845661,654.189427374858,0.0,1158.6313104286846,928.9878434458449,881.9661368520764,1002.2810945690329,1470.1975008205222,565.6553728112548,837.9372184612439,837.9372184612439,609.3284569359739,1716.950550542161,700.984121595811,1762.829300056334,1082.0374945290678,1628.4796227750303,1628.4796227750303,1580.6680357460677,1321.3651700013602,1019.4640217789481,930.4453424995978,1520.9957051350439,1024.6424783013629,1503.4463810974355
DET,1697.4332155642708,596.6431500776013,397.3664146291867,219.34524189881162,504.7572793644579,237.22553426043794,236.83843957379236,90.14343323977057,1013.736357073214,1158.6313104286846,0.0,293.1596373305223,1111.4923390193953,241.27413510918106,832.2066870300692,641.583419815568,1991.415575900666,1991.415575900666,1766.298660655696,1140.3766176431031,542.7661880576734,604.2423511998153,939.602668660702,476.4314703309228,476.4314703309228,444.0067229163963,204.57560884192404,1938.156932364828,2078.574142650766,990.7110314867033,470.30949551516386,401.93286371680574
GB,1497.8941270608043,766.7341927602901,690.3875095678359,479.8139304323233,745.2331467697476,183.57129466564595,415.535518599577,382.798728701233,945.2151997264182,928.9878434458449,293.1596373305223,0.0,1098.2757961855277,341.440852068779,1038.7795848058327,501.33165265337027,1766.6694360157178,1766.6694360157178,1536.8955011841601,1351.17632104747,257.7463425436713,861.5815295455448,1009.5014732598083,755.5697656983166,755.5697656983166,732.8525864835269,496.98640867920267,1648.2050586906983,1825.821898108246,1180.245218885764,579.1000390477129,695.0137351750143
HOU,1027.0216655870297,705.995294220123,1255.9879635561122,1290.3270492121997,931.0283429117185,945.8884683894422,897.6743102703942,1119.8173877124225,233.3317745202592,881.9661368520764,1111.4923390193953,1098.2757961855277,0.0,870.2873137699918,826.3936964989151,647.6187644790111,1377.4232063441877,1377.4232063441877,1228.6462074658648,962.7553347422107,1060.9261533520344,1593.439687346037,320.6144800753962,1423.8589034300135,1423.8589034300135,1344.6112232208015,1142.2303975419732,1892.4131810347897,1615.8459520858985,791.128066225293,671.4701599611066,1233.1988872295608
IND,1506.387538394434,425.42476504653143,510.63337213636277,436.5597921988561,427.5588757130445,163.8328488191437,99.37665407181625,263.753422669289,777.595849447663,1002.2810945690329,241.27413510918106,341.440852068779,870.2873137699918,0.0,699.0101946466256,447.81453391307,1816.9346138715687,1816.9346138715687,1598.3176798480683,1010.9768485777366,510.84536436881257,795.1488900429877,711.6732112646342,642.3901199766291,642.3901199766291,584.6298646327964,329.08349105766223,1872.1604593637067,1932.551262281737,838.8098404864076,250.06238393188923,501.42196194752046
JAC,1806.5499992559016,286.6645789700605,679.6104680169508,872.8494647420601,340.8664984720197,862.4567074497736,626.3216730756689,770.9822891602896,926.2762864997693,1470.1975008205222,832.2066870300692,1038.7795848058327,826.3936964989151,699.0101946466256,0.0,945.2566324490604,2154.743539240583,2154.743539240583,1973.4586701044584,312.51385270173597,1191.7102593059494,995.4274008897768,506.06345328064265,838.5146391701363,838.5146391701363,754.5662376478609,703.80785527767,2456.1477302301782,2351.295736391146,169.97370868976265,500.30932547184705,650.9564554800592
KC,1060.6877111402928,669.5175536092053,957.7677057525494,859.4793577972326,796.4391625715895,410.53623110484546,535.7337350271687,695.8247632698709,458.3616744320925,565.6553728112548,641.583419815568,501.33165265337027,647.6187644790111,447.81453391307,945.2566324490604,0.0,1369.2340180265264,1369.2340180265264,1151.8493741923305,1223.880643301746,413.75554811128984,1235.708747245939,675.3434942483927,1088.3617251298758,1088.3617251298758,1032.4167553128937,775.6300107129367,1512.0438270772788,1494.0899623761882,1028.0007608549888,467.3033061256116,947.2560888297032
LAC,351.0132988112799,1942.5739546289342,2326.939905954214,2210.2246331686397,2125.9981991686195,1754.2663062194417,1904.0356302679838,2056.8052538226702,1229.4527076289735,837.9372184612439,1991.415575900666,1766.6694360157178,1377.4232063441877,1816.9346138715687,2154.743539240583,1369.2340180265264,0.0,0.0,231.75656723878075,2336.486914177428,1532.3905987649691,2595.1146197449057,1677.3239014348442,2454.719773870254,2454.719773870254,2401.295446056322,2143.44036670078,964.0276378171108,313.46200350186115,2155.6257164203344,1787.9588974713038,2315.9611029988355
LAR,351.0132988112799,1942.5739546289342,2326.939905954214,2210.2246331686397,2125.9981991686195,1754.2663062194417,1904.0356302679838,2056.8052538226702,1229.4527076289735,837.9372184612439,1991.415575900666,1766.6694360157178,1377.4232063441877,1816.9346138715687,2154.743539240583,1369.2340180265264,0.0,0.0,231.75656723878075,2336.486914177428,1532.3905987649691,2595.1146197449057,1677.3239014348442,2454.719773870254,2454.719773870254,2401.295446056322,2143.44036670078,964.0276378171108,313.46200350186115,2155.6257164203344,1787.9588974713038,2315.9611029988355
LV,242.4175238557703,1747.9225318757747,2108.9350677702723,1984.5840139448867,1922.5050254773294,1529.4750551618984,1687.5801943171034,1833.6425891052802,1057.0785722322846,609.3284569359739,1766.298660655696,1536.8955011841601,1228.6462074658648,1598.3176798480683,1973.4586701044584,1151.8493741923305,231.75656723878075,231.75656723878075,0.0,2173.8859868251025,1301.0487901233469,2370.472133777285,1512.6386749745,2232.7718362255487,2232.7718362255487,2181.5132764350087,1922.8482380167077,874.5763073072745,387.2006383588342,1987.4229633663936,1583.4894447156335,2098.974233892589
MIA,1985.4750212505103,592.1835106395038,941.5544379826525,1162.029877286417,639.4765942878311,1174.125462691376,938.7289277486362,1074.8608585537845,1117.4508562295218,1716.950550542161,1140.3766176431031,1351.17632104747,962.7553347422107,1010.9768485777366,312.51385270173597,1223.880643301746,2336.486914177428,2336.486914177428,2173.8859868251025,0.0,1498.1793250084202,1223.7087931469678,661.280366815016,1083.3032239473139,1083.3032239473139,1004.5387431211283,998.5880623274683,2722.5059636279557,2558.772791212395,197.00593593590008,802.3799469575245,913.6640393573101
MIN,1283.8627189343438,906.4158275684416,938.4440496869212,737.4523724962501,938.2937515995637,355.85578265926756,605.117751504487,629.8346639811689,868.0742787109589,700.984121595811,542.7661880576734,257.7463425436713,1060.9261533520344,510.84536436881257,1191.7102593059494,413.75554811128984,1532.3905987649691,1532.3905987649691,1301.0487901233469,1498.1793250084202,0.0,1118.8794833581883,1050.4457959450713,1012.3569398586155,1012.3569398586155,986.3410615932497,741.8069435337978,1395.6075688591957,1575.4050742911784,1313.4273803405501,696.4433907469069,940.4266280034657
NE,2296.13741300686,917.6782638063671,341.81545345078797,387.40462817916045,701.446011114213,841.0286736909521,726.1925739067985,540.0959575807786,1551.909831251212,1762.829300056334,604.2423511998153,861.5815295455448,1593.439687346037,795.1488900429877,995.4274008897768,1235.708747245939,2595.1146197449057,2595.1146197449057,2370.472133777285,1223.7087931469678,1118.8794833581883,0.0,1340.5979412882214,170.47395678382432,170.47395678382432,253.91529748361907,469.3603989235904,2491.30678155557,2680.0613232838964,1160.7958158079402,926.1404038532445,367.6517572381172
NO,1326.450073117629,424.5336164902172,998.7872817657801,1083.3522899428615,649.0883286055116,832.6932320466593,705.3702923568692,924.4680188718708,457.0251523304773,1082.0374945290678,939.602668660702,1009.5014732598083,320.6144800753962,711.6732112646342,506.06345328064265,675.3434942483927,1677.3239014348442,1677.3239014348442,1512.6386749745,661.280366815016,1050.4457959450713,1340.5979412882214,0.0,1170.2874954704653,1170.2874954704653,1087.021093105576,919.4532440687876,2100.321270541207,1897.8173892173575,478.57770254282417,469.33647227918897,973.3393621647091
NYG,2148.4842003528934,747.7877041454667,171.69448274399633,278.40493264307077,533.7958330509075,707.3149420007387,566.5853072528201,400.3961145913881,1387.2088481522712,1628.4796227750303,476.4314703309228,755.5697656983166,1423.8589034300135,642.3901199766291,838.5146391701363,1088.3617251298758,2454.719773870254,2454.719773870254,2232.7718362255487,1083.3032239473139,1012.3569398586155,170.47395678382432,1170.2874954704653,0.0,0.0,85.40937088627823,313.3085362336075,2401.846465072299,2552.8551074425527,1006.2399727875095,758.3072606892357,198.20660315621345
NYJ,2148.4842003528934,747.7877041454667,171.69448274399633,278.40493264307077,533.7958330509075,707.3149420007387,566.5853072528201,400.3961145913881,1387.2088481522712,1628.4796227750303,476.4314703309228,755.5697656983166,1423.8589034300135,642.3901199766291,838.5146391701363,1088.3617251298758,2454.719773870254,2454.719773870254,2232.7718362255487,1083.3032239473139,1012.3569398586155,170.47395678382432,1170.2874954704653,0.0,0.0,85.40937088627823,313.3085362336075,2401.846465072299,2552.8551074425527,1006.2399727875095,758.3072606892357,198.20660315621345
PHI,2090.042665235206,663.7919298581386,88.76788381887118,273.3497588321435,448.53552183221893,665.2549796999192,502.5106929447045,360.3423937740694,1314.6063516845675,1580.6680357460677,444.0067229163963,732.8525864835269,1344.6112232208015,584.6298646327964,754.5662376478609,1032.4167553128937,2401.295446056322,2401.295446056322,2181.5132764350087,1004.5387431211283,986.3410615932497,253.91529748361907,1087.021093105576,85.40937088627823,85.40937088627823,0.0,259.31984881057105,2380.878655339428,2508.3541175396626,922.7982938172369,682.7295957570594,113.75681087719367
