Date,Source,Destination,Team_x,Commonly Used Abbreviations_x,Latitude_x,Longitude_x,Team_y,Commonly Used Abbreviations_y,Latitude_y,Longitude_y
2024-09-08,Home,SEA,Home,Home,40.759,-73.9761,Seattle Seahawks,SEA,47.59527778,-122.3316667
2024-09-09,SEA,SF,Seattle Seahawks,SEA,47.59527778,-122.3316667,San Francisco 49ers,SF,37.40305556,-121.97
2024-09-15,SF,ARI,San Francisco 49ers,SF,37.40305556,-121.97,Arizona Cardinals,ARI,33.52805556,-112.2630556
2024-09-22,ARI,LV,Arizona Cardinals,ARI,33.52805556,-112.2630556,Las Vegas Raiders,LV,36.09055556,-115.1838889
2024-09-29,LV,LAC,Las Vegas Raiders,LV,36.09055556,-115.1838889,Los Angeles Chargers,LAC,33.95305556,-118.3388889
2024-10-06,LAC,LAR,Los Angeles Chargers,LAC,33.95305556,-118.3388889,Los Angeles Rams,LAR,33.95305556,-118.3388889
2024-10-13,LAR,DEN,Los Angeles Rams,LAR,33.95305556,-118.3388889,Denver Broncos,DEN,39.74388889,-105.02
2024-10-17,DEN,NO,Denver Broncos,DEN,39.74388889,-105.02,New Orleans Saints,NO,29.95083333,-90.08111111
2024-10-20,NO,JAC,New Orleans Saints,NO,29.95083333,-90.08111111,Jacksonville Jaguars,JAC,30.32388889,-81.6375
2024-10-21,JAC,TB,Jacksonville Jaguars,JAC,30.32388889,-81.6375,Tampa Bay Buccaneers,TB,27.97583333,-82.50333333
2024-10-27,TB,MIA,Tampa Bay Buccaneers,TB,27.97583333,-82.50333333,Miami Dolphins,MIA,25.95805556,-80.23888889
2024-10-28,MIA,PIT,Miami Dolphins,MIA,25.95805556,-80.23888889,Pittsburgh Steelers,PIT,40.44666667,-80.01583333
2024-10-31,PIT,NYJ,Pittsburgh Steelers,PIT,40.44666667,-80.01583333,New York Jets,NYJ,40.81352778,-74.07436111
2024-11-03,NYJ,NYG,New York Jets,NYJ,40.81352778,-74.07436111,New York Giants,NYG,40.81352778,-74.07436111
2024-11-07,NYG,BAL,New York Giants,NYG,40.81352778,-74.07436111,Baltimore Ravens,BAL,39.27805556,-76.62277778
2024-11-10,BAL,WAS,Baltimore Ravens,BAL,39.27805556,-76.62277778,Washington Commanders,WAS,38.90777778,-76.86444444
2024-11-14,WAS,PHI,Washington Commanders,WAS,38.90777778,-76.86444444,Philadelphia Eagles,PHI,39.90083333,-75.1675
2024-11-17,PHI,NE,Philadelphia Eagles,PHI,39.90083333,-75.1675,New England Patriots,NE,42.09111111,-71.26388889
2024-11-21,NE,CLE,New England Patriots,NE,42.09111111,-71.26388889,Cleveland Browns,CLE,41.50611111,-81.69944444
2024-11-24,CLE,CAR,Cleveland Browns,CLE,41.50611111,-81.69944444,Carolina Panthers,CAR,35.22583333,-80.85277778
2024-11-28,CAR,DET,Carolina Panthers,CAR,35.22583333,-80.85277778,Detroit Lions,DET,42.34,-83.04555556
2024-11-29,DET,KC,Detroit Lions,DET,42.34,-83.04555556,Kansas City Chiefs,KC,39.04888889,-94.48388889
2024-12-01,KC,ATL,Kansas City Chiefs,KC,39.04888889,-94.48388889,Atlanta Falcons,ATL,33.75555556,-84.4
2024-12-08,ATL,TEN,Atlanta Falcons,ATL,33.75555556,-84.4,Tennessee Titans,TEN,36.16638889,-86.77138889
2024-12-09,TEN,DAL,Tennessee Titans,TEN,36.16638889,-86.77138889,Dallas Cowboys,DAL,32.74777778,-97.09277778
2024-12-15,DAL,HOU,Dallas Cowboys,DAL,32.74777778,-97.09277778,Houston Texans,HOU,29.68472222,-95.41083333
2024-12-16,HOU,MIN,Houston Texans,HOU,29.68472222,-95.41083333,Minnesota Vikings,MIN,44.97388889,-93.25805556
2024-12-19,MIN,CIN,Minnesota Vikings,MIN,44.97388889,-93.25805556,Cincinnati Bengals,CIN,39.095,-84.51611111
2024-12-22,CIN,IND,Cincinnati Bengals,CIN,39.095,-84.51611111,Indianapolis Colts,IND,39.76005556,-86.16380556
2024-12-23,IND,GB,Indianapolis Colts,IND,39.76005556,-86.16380556,Green Bay Packers,GB,44.50138889,-88.06222222
2024-12-26,GB,CHI,Green Bay Packers,GB,44.50138889,-88.06222222,Chicago Bears,CHI,41.86222222,-87.61666667
2024-12-29,CHI,BUF,Chicago Bears,CHI,41.86222222,-87.61666667,Buffalo Bills,BUF,42.77388889,-78.78694444
2025-01-05,BUF,Home,Buffalo Bills,BUF,42.77388889,-78.78694444,Home,Home,40.759,-73.9761
